#comment: signals in ppt, that is 2.47e7 molecules cm⁻³. NaNs occur, whenever there where experimental issues or (especially for C2H6S (DMS)) when there was strong crosstalk between two peaks.
localtime,C2H6S,CH4SO,C2H4OS,C2H6OS,CH4O2S,C2H6O2S
2018-05-10T01:00:00,NaN,0.028386434679455376,0.08290774997651024,0.5146456329516508,0.036860792112937205,21.89777892273913
2018-05-10T01:30:00,NaN,0.014617900886834916,0.05274751671720074,0.587394679585405,0.05558793212793224,23.352710075360147
2018-05-10T02:00:00,NaN,0.03012397356224508,0.1340539840352269,0.5246784244195745,0.02602761715028517,22.577288820353367
2018-05-10T02:30:00,NaN,0.017426595517273692,0.07086477220114148,0.5276629505221085,0.03407706817089087,23.674805097458695
2018-05-10T03:00:00,NaN,0.05023663779675723,0.004845781989248507,0.4630844696176651,0.02964229838382241,22.181296302213596
2018-05-10T03:30:00,NaN,0.035605499281528744,0.013146841884152131,0.5514737321926029,0.031764898571597464,23.775726338225766
2018-05-10T04:00:00,NaN,0.01907756024248745,0.14966173563540316,0.5755292866410255,0.06799362109700911,24.4851206289457
2018-05-10T04:30:00,NaN,0.052905836184493155,0.10482279800001518,0.531945873918551,0.036197336223795944,24.200333608733864
2018-05-10T05:00:00,NaN,0.02313973797967759,0.030222401261660755,0.5867334215926681,0.0676251074602752,21.923964572965463
2018-05-10T05:30:00,NaN,0.03743806223066333,0.03945649890720748,0.4924613631402581,0.0561189459732912,20.66140464531289
2018-05-10T06:00:00,NaN,0.017685384706991266,0.023514388605574813,0.534718345013088,0.06135951865663968,20.802080820556615
2018-05-10T06:30:00,NaN,0.0074926295121207345,0.027877381171289992,0.5609022069224724,0.0698117002757743,20.681976112206513
2018-05-10T07:00:00,NaN,0.04559277908858524,0.06285902145503872,0.6204836927911175,0.03097919618647961,21.100090689183958
2018-05-10T07:30:00,NaN,0.021025997501581052,0.017389368631674382,0.4770703634401642,0.0396602881779033,20.140102062538414
2018-05-10T08:00:00,NaN,0.006218769147979592,0.13149251757499644,0.500172808900157,0.08299831873157885,20.39065839436056
2018-05-10T08:30:00,NaN,0.04870125909294009,0.12532232200720758,0.5011799317096631,0.03556319740146861,20.94143339842392
2018-05-10T09:00:00,NaN,0.026744817647148308,0.1320717334514564,0.3456279364857363,0.04810679745217331,21.93876771802679
2018-05-10T09:30:00,NaN,0.020469481812736588,0.11362485178696413,0.3784848846521903,0.06843204790941383,22.291189377328575
2018-05-10T10:00:00,NaN,0.04048962022368216,0.14676868381508806,0.376569888333944,0.07169301516585389,22.249647538576628
2018-05-10T10:30:00,NaN,-0.011502266825724581,0.14335822638521778,0.41440773780205703,0.0367314376723896,24.96127215465615
2018-05-10T11:00:00,NaN,0.028942776128608006,0.10080420631079255,0.3346837391463053,0.047098793771854636,25.44738357946179
2018-05-10T11:30:00,NaN,0.026360714374554936,0.1143625912611063,0.34586651525928314,0.11435927491466161,24.541482738544296
2018-05-10T12:00:00,NaN,0.013026345652160997,0.14929737694405207,0.3756502229609169,0.115289974900985,22.995644019517254
2018-05-10T12:30:00,NaN,0.012365260419134822,0.25892678578562267,0.45156401940355073,0.09958503300267879,22.633506796328323
2018-05-10T13:00:00,NaN,0.038048103127655455,0.18538292394854541,0.4412879722987639,0.16621575137785685,23.05313917839314
2018-05-10T13:30:00,NaN,0.04604512600049319,0.27339331347074025,0.42913820816545595,0.1358318569741607,22.812693975220444
2018-05-10T14:00:00,NaN,0.04479845776591998,0.21260809235312744,0.44637742168036443,0.1130059663496866,21.289893778682025
2018-05-10T14:30:00,NaN,0.029352593607393025,0.1899588344622874,0.4810017127558961,0.11154755189018833,23.14674369555277
2018-05-10T15:00:00,NaN,0.053543626115507684,0.27443133218683907,0.44900908038339143,0.14962197892644516,18.157037640724276
2018-05-10T15:30:00,NaN,0.038816630021029426,0.17999117010896634,0.3825812542577265,0.11908862224663871,14.387863902795718
2018-05-10T16:00:00,NaN,0.038629679541497625,0.38369056883709474,0.37771834873014026,0.09972712728061128,14.444202021131332
2018-05-10T16:30:00,NaN,0.03007750006101619,0.16995112743319216,0.29290337149326856,0.11836185047694969,13.524688801377431
2018-05-10T17:00:00,NaN,0.018210039769336217,0.16309878931683092,0.3259245123532004,0.09156518758083136,14.228932558122288
2018-05-10T17:30:00,NaN,0.03350700493644587,0.14008310139283056,0.33878140203142526,0.08990462982762384,13.234896889458946
2018-05-10T18:00:00,NaN,0.007635832464376474,0.06984342694556285,0.36095491309417715,0.06550285564849834,13.505679887010592
2018-05-10T18:30:00,NaN,0.04274222169149526,0.1943583051839134,0.26591536755203277,0.05067673255732649,9.324646715568287
2018-05-10T19:00:00,NaN,0.0387545510308633,0.14487335052593348,0.2207703809786436,0.05510004520901153,9.371133521182086
2018-05-10T19:30:00,NaN,0.0286055540197623,0.133561784025828,0.34285879219498816,0.03014009953542427,13.038464747513496
2018-05-10T20:00:00,NaN,0.04376295941853522,0.15841546178161225,0.3536185328898443,0.05470963837263253,14.690973269487994
2018-05-10T20:30:00,NaN,0.013299222699210887,0.14371227715138504,0.42716073309452535,0.0701829605365571,15.722091089759088
2018-05-10T21:00:00,NaN,0.003410512903789376,0.2062177324635343,0.4643559227046123,0.0726066286926047,15.311827797170224
2018-05-10T21:30:00,NaN,0.030022173955307152,0.2208838618527021,0.4394285984076727,0.03676918751970491,15.742393065921448
2018-05-10T22:00:00,NaN,0.03383032371819496,0.27638702389612063,0.4559322410216094,0.055869893348505784,15.333903908168619
